iter	Passed	Remaining
0	23	7139
1	37	5639
2	51	5106
3	64	4799
4	78	4608
5	91	4469
6	104	4392
7	118	4328
8	132	4290
9	148	4298
10	161	4246
11	174	4198
12	187	4150
13	202	4138
14	216	4114
15	230	4086
16	245	4086
17	259	4059
18	272	4034
19	286	4007
20	299	3982
21	313	3956
22	326	3929
23	339	3906
24	352	3877
25	366	3858
26	379	3835
27	393	3820
28	406	3799
29	420	3784
30	433	3763
31	447	3746
32	460	3724
33	474	3711
34	488	3697
35	504	3697
36	517	3679
37	531	3662
38	544	3644
39	558	3628
40	571	3610
41	587	3608
42	601	3593
43	614	3575
44	628	3562
45	642	3546
46	655	3528
47	669	3514
48	683	3499
49	696	3481
50	710	3467
51	724	3453
52	737	3439
53	751	3425
54	765	3410
55	779	3396
56	793	3383
57	807	3369
58	821	3356
59	835	3341
60	849	3328
61	862	3311
62	876	3295
63	890	3282
64	903	3266
65	917	3252
66	931	3237
67	944	3222
68	957	3206
69	971	3192
70	985	3177
71	999	3164
72	1014	3153
73	1028	3140
74	1042	3126
75	1055	3112
76	1069	3097
77	1083	3084
78	1097	3069
79	1111	3055
80	1124	3041
81	1138	3026
82	1151	3011
83	1165	2997
84	1179	2983
85	1193	2969
86	1207	2955
87	1220	2940
88	1233	2925
89	1247	2910
90	1260	2895
91	1274	2880
92	1287	2865
93	1301	2851
94	1314	2837
95	1328	2822
96	1341	2806
97	1354	2791
98	1368	2777
99	1381	2763
100	1394	2748
101	1407	2732
102	1421	2718
103	1434	2704
104	1448	2689
105	1461	2675
106	1475	2660
107	1488	2645
108	1504	2636
109	1518	2622
110	1531	2608
111	1545	2593
112	1559	2580
113	1572	2566
114	1586	2551
115	1599	2537
116	1613	2523
117	1626	2509
118	1640	2494
119	1653	2480
120	1667	2466
121	1680	2451
122	1693	2437
123	1707	2422
124	1720	2409
125	1734	2395
126	1747	2380
127	1761	2366
128	1774	2352
129	1788	2338
130	1801	2324
131	1814	2309
132	1828	2295
133	1842	2282
134	1855	2268
135	1869	2254
136	1882	2239
137	1896	2226
138	1912	2215
139	1926	2202
140	1940	2187
141	1953	2173
142	1967	2159
143	1980	2145
144	1993	2131
145	2010	2120
146	2026	2109
147	2039	2094
148	2053	2080
149	2066	2066
150	2080	2053
151	2093	2038
152	2107	2024
153	2120	2010
154	2134	1997
155	2148	1983
156	2161	1968
157	2175	1954
158	2188	1940
159	2202	1927
160	2216	1913
161	2229	1899
162	2243	1885
163	2257	1871
164	2270	1857
165	2284	1843
166	2297	1829
167	2311	1816
168	2324	1802
169	2338	1788
170	2352	1774
171	2365	1760
172	2378	1746
173	2391	1732
174	2405	1718
175	2418	1703
176	2432	1690
177	2445	1676
178	2459	1662
179	2472	1648
180	2486	1634
181	2501	1621
182	2514	1607
183	2532	1596
184	2546	1583
185	2560	1569
186	2574	1555
187	2588	1541
188	2602	1528
189	2615	1514
190	2629	1500
191	2643	1486
192	2657	1473
193	2670	1459
194	2685	1445
195	2698	1431
196	2712	1417
197	2725	1404
198	2739	1390
199	2753	1376
200	2767	1363
201	2781	1349
202	2795	1335
203	2809	1321
204	2822	1308
205	2836	1294
206	2850	1280
207	2864	1266
208	2878	1253
209	2892	1239
210	2905	1225
211	2919	1211
212	2933	1198
213	2947	1184
214	2960	1170
215	2974	1156
216	2988	1142
217	3002	1129
218	3015	1115
219	3031	1102
220	3046	1088
221	3060	1075
222	3073	1061
223	3087	1047
224	3101	1033
225	3114	1019
226	3128	1006
227	3142	992
228	3157	978
229	3171	965
230	3186	951
231	3200	938
232	3214	924
233	3227	910
234	3241	896
235	3255	882
236	3269	869
237	3283	855
238	3296	841
239	3310	827
240	3324	813
241	3338	800
242	3352	786
243	3365	772
244	3379	758
245	3392	744
246	3406	730
247	3419	717
248	3433	703
249	3446	689
250	3460	675
251	3474	661
252	3488	648
253	3503	634
254	3520	621
255	3540	608
256	3559	595
257	3576	582
258	3590	568
259	3605	554
260	3619	540
261	3633	526
262	3649	513
263	3662	499
264	3676	485
265	3690	471
266	3706	458
267	3720	444
268	3734	430
269	3747	416
270	3761	402
271	3774	388
272	3788	374
273	3802	360
274	3815	346
275	3829	332
276	3843	319
277	3856	305
278	3870	291
279	3883	277
280	3897	263
281	3911	249
282	3924	235
283	3938	221
284	3951	207
285	3965	194
286	3979	180
287	3995	166
288	4009	152
289	4022	138
290	4036	124
291	4050	110
292	4065	97
293	4079	83
294	4093	69
295	4106	55
296	4120	41
297	4134	27
298	4147	13
299	4161	0
